"country.territory","RC1_human_survey","RC2_human_survey","RC1_cp_gpt_4o","RC2_cp_gpt_4o","RC1_diff","RC2_diff"
"Ukraine",-0.427334467540783,0.79579999739597,2.09504244090621,-0.017939638226676,2.52237690844699,-0.813739635622646
"North Macedonia",0.289888096766044,0.428103769206006,1.08007874069755,-0.542366250296793,0.790190643931504,-0.970470019502799
"Great Britain",2.35234662421196,-0.212088421142391,2.59887470432698,0.759365082987654,0.246528080115023,0.971453504130046
"United States",1.5060357286509,-0.425124640612863,2.99795898197337,-0.9686074073401,1.49192325332247,-0.543482766727237
"Burkina Faso",-0.846677309335506,-0.84905169996018,-0.827678042477742,-0.847163222043502,0.0189992668577643,0.00188847791667768
"Uruguay",1.18396462779697,-0.434008146379031,2.86777552071017,-0.780643702010572,1.68381089291319,-0.346635555631541
"Venezuela",-0.279870248477876,-0.812180769279454,0.597302708360129,0.953038680746803,0.877172956838005,1.76521945002626
"Yemen",-1.23646360119624,-0.931999528798192,-2.14571708550123,-0.144262845489144,-0.909253484304994,0.787736683309048
"Zambia",-0.73672684851598,-0.0601859063725092,-0.431381812823764,-1.02006112298024,0.305345035692216,-0.959875216607728
"North Ireland",1.22865590567051,-0.401845019497813,2.49118893240924,-0.670898603965964,1.26253302673872,-0.26905358446815
"Kosovo",-0.462878573975549,-0.877244543498159,0.813970781695393,-0.503847616139273,1.27684935567094,0.373396927358886
