entity,entity_type,model_version,reference_entity,x_survival_self_expression,y_traditional_secular,n_raw,n_complete,ci95_x_low,ci95_x_high,ci95_y_low,ci95_y_high,source,notes
Turkey,country_human,,,-0.808989717469811,-0.208741727420241,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Ukraine,country_human,,,-0.427334467540783,0.79579999739597,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
North Macedonia,country_human,,,0.289888096766044,0.428103769206006,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Great Britain,country_human,,,2.35234662421196,-0.212088421142391,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
United States,country_human,,,1.5060357286509,-0.425124640612863,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Burkina Faso,country_human,,,-0.846677309335506,-0.84905169996018,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Uruguay,country_human,,,1.18396462779697,-0.434008146379031,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Venezuela,country_human,,,-0.279870248477876,-0.812180769279454,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Yemen,country_human,,,-1.23646360119624,-0.931999528798192,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Zambia,country_human,,,-0.73672684851598,-0.0601859063725092,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
North Ireland,country_human,,,1.22865590567051,-0.401845019497813,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Kosovo,country_human,,,-0.462878573975549,-0.877244543498159,,,,,,,"Tao et al. (2024), OSF 7sj3w",Média das coordenadas país-ano nas ondas 5–7 do IVS.
Rio Grande do Sul,regional_human_exploratory,,Brazil,0.26588225,0.3976993,151.0,118.0,0.00653452,0.53605288,0.13697122,0.66309311,"Cálculo exploratório; WVS 7 v6.0, Brasil 2018","Média não ponderada para compatibilidade com Tao et al.; sensibilidade ponderada=(0.288627, 0.424127)."
