modelo,cond,semente,grupo,geracao,massa_cauda,n_tokens
anthropic-claude-sonnet-5,pt-C1,controle-pt-02-policarpo-albernaz,controle-pt,3,0.2149,228
anthropic-claude-sonnet-5,pt-C1,controle-pt-02-policarpo-albernaz,controle-pt,4,0.1913,230
anthropic-claude-sonnet-5,pt-C1,controle-pt-02-policarpo-albernaz,controle-pt,5,0.2061,228
anthropic-claude-sonnet-5,pt-C1,controle-pt-02-policarpo-albernaz,controle-pt,6,0.1965,229
anthropic-claude-sonnet-5,pt-C1,controle-pt-02-policarpo-albernaz,controle-pt,7,0.1982,227
anthropic-claude-sonnet-5,pt-C1,controle-pt-02-policarpo-albernaz,controle-pt,8,0.2105,228
anthropic-claude-sonnet-5,pt-C1,controle-pt-02-policarpo-albernaz,controle-pt,9,0.2115,227
anthropic-claude-sonnet-5,pt-C1,controle-pt-02-policarpo-albernaz,controle-pt,10,0.2155,232
anthropic-claude-sonnet-5,pt-C1,controle-pt-02-policarpo-albernaz,controle-pt,11,0.2061,228
anthropic-claude-sonnet-5,pt-C1,controle-pt-02-policarpo-albernaz,controle-pt,12,0.2222,225
anthropic-claude-sonnet-5,pt-C1,controle-pt-02-policarpo-albernaz,controle-pt,13,0.1921,229
anthropic-claude-sonnet-5,pt-C1,controle-pt-02-policarpo-albernaz,controle-pt,14,0.2105,228
anthropic-claude-sonnet-5,pt-C1,controle-pt-02-policarpo-albernaz,controle-pt,15,0.2096,229
anthropic-claude-sonnet-5,pt-C1,controle-pt-03-memorial-ayres,controle-pt,0,0.1875,176
anthropic-claude-sonnet-5,pt-C1,controle-pt-03-memorial-ayres,controle-pt,1,0.2021,188
anthropic-claude-sonnet-5,pt-C1,controle-pt-03-memorial-ayres,controle-pt,2,0.1958,189
anthropic-claude-sonnet-5,pt-C1,controle-pt-03-memorial-ayres,controle-pt,3,0.2,195
anthropic-claude-sonnet-5,pt-C1,controle-pt-03-memorial-ayres,controle-pt,4,0.2031,192
anthropic-claude-sonnet-5,pt-C1,controle-pt-03-memorial-ayres,controle-pt,5,0.2021,193
anthropic-claude-sonnet-5,pt-C1,controle-pt-03-memorial-ayres,controle-pt,6,0.2031,192
anthropic-claude-sonnet-5,pt-C1,controle-pt-03-memorial-ayres,controle-pt,7,0.2031,192
anthropic-claude-sonnet-5,pt-C1,controle-pt-03-memorial-ayres,controle-pt,8,0.2071,198
anthropic-claude-sonnet-5,pt-C1,controle-pt-03-memorial-ayres,controle-pt,9,0.194,201
anthropic-claude-sonnet-5,pt-C1,controle-pt-03-memorial-ayres,controle-pt,10,0.2063,189
anthropic-claude-sonnet-5,pt-C1,controle-pt-03-memorial-ayres,controle-pt,11,0.2051,195
anthropic-claude-sonnet-5,pt-C1,controle-pt-03-memorial-ayres,controle-pt,12,0.2188,192
anthropic-claude-sonnet-5,pt-C1,controle-pt-03-memorial-ayres,controle-pt,13,0.199,196
anthropic-claude-sonnet-5,pt-C1,controle-pt-03-memorial-ayres,controle-pt,14,0.2143,196
anthropic-claude-sonnet-5,pt-C1,controle-pt-03-memorial-ayres,controle-pt,15,0.21,200
anthropic-claude-sonnet-5,pt-C1,regional-01-chasque-do-imperador,regional,0,0.151,245
anthropic-claude-sonnet-5,pt-C1,regional-01-chasque-do-imperador,regional,1,0.0816,245
anthropic-claude-sonnet-5,pt-C1,regional-01-chasque-do-imperador,regional,2,0.0891,247
anthropic-claude-sonnet-5,pt-C1,regional-01-chasque-do-imperador,regional,3,0.0735,245
anthropic-claude-sonnet-5,pt-C1,regional-01-chasque-do-imperador,regional,4,0.0857,245
anthropic-claude-sonnet-5,pt-C1,regional-01-chasque-do-imperador,regional,5,0.0823,243
anthropic-claude-sonnet-5,pt-C1,regional-01-chasque-do-imperador,regional,6,0.0854,246
anthropic-claude-sonnet-5,pt-C1,regional-01-chasque-do-imperador,regional,7,0.0884,249
anthropic-claude-sonnet-5,pt-C1,regional-01-chasque-do-imperador,regional,8,0.0803,249
anthropic-claude-sonnet-5,pt-C1,regional-01-chasque-do-imperador,regional,9,0.0884,249
anthropic-claude-sonnet-5,pt-C1,regional-01-chasque-do-imperador,regional,10,0.0766,248
anthropic-claude-sonnet-5,pt-C1,regional-01-chasque-do-imperador,regional,11,0.0766,248
anthropic-claude-sonnet-5,pt-C1,regional-01-chasque-do-imperador,regional,12,0.085,247
anthropic-claude-sonnet-5,pt-C1,regional-01-chasque-do-imperador,regional,13,0.0813,246
anthropic-claude-sonnet-5,pt-C1,regional-01-chasque-do-imperador,regional,14,0.0843,249
anthropic-claude-sonnet-5,pt-C1,regional-01-chasque-do-imperador,regional,15,0.081,247
anthropic-claude-sonnet-5,pt-C1,regional-02-contrabandista,regional,0,0.1944,216
anthropic-claude-sonnet-5,pt-C1,regional-02-contrabandista,regional,1,0.1907,215
anthropic-claude-sonnet-5,pt-C1,regional-02-contrabandista,regional,2,0.1869,214
anthropic-claude-sonnet-5,pt-C1,regional-02-contrabandista,regional,3,0.2074,217
anthropic-claude-sonnet-5,pt-C1,regional-02-contrabandista,regional,4,0.1806,216
anthropic-claude-sonnet-5,pt-C1,regional-02-contrabandista,regional,5,0.2038,211
anthropic-claude-sonnet-5,pt-C1,regional-02-contrabandista,regional,6,0.1952,210
